"UF","Freq","Porcentagem"
"São Paulo",1054,"39.34%"
"Rio Grande do Sul",471,"17.58%"
"Rio de Janeiro",325,"12.13%"
"Minas Gerais",117,"4.37%"
"Paraná",102,"3.81%"
"Santa Catarina",96,"3.58%"
"Bahia",78,"2.91%"
"Pernambuco",70,"2.61%"
"Goiás",56,"2.09%"
"Pará",36,"1.34%"
"Espírito Santo",32,"1.19%"
"Maranhão",29,"1.08%"
"Distrito Federal",28,"1.05%"
"Ceará",26,"0.97%"
"Acre",25,"0.93%"
"Mato Grosso do Sul",24,"0.9%"
"Amazonas",18,"0.67%"
"Alagoas",16,"0.6%"
"Paraíba",15,"0.56%"
"Mato Grosso",15,"0.56%"
"Rio Grande do Norte",14,"0.52%"
"Rondônia",8,"0.3%"
"Piauí",7,"0.26%"
"Sergipe",7,"0.26%"
"Amapá",4,"0.15%"
"Tocantins",4,"0.15%"
"Roraima",2,"0.07%"
